Timestamp,Distance,Hits,Misses,Level,Score,ScoreLossPowerups,ScoreLoss,ScoreGain,LaneSwitches,ReachedEnd,powerups_pickedup,powerups_used,Score,Score
9/20/2022 16:18:10,13,,,,,,,,,,,,,
9/20/2022 16:18:18,24,,,,,,,,,,,,,
9/20/2022 16:18:27,113,,,,,,,,,,,,,
9/20/2022 16:28:59,451,,,,,,,,,,,,,
9/20/2022 16:56:08,"(114.49, 1.98, 0.00)",,,,,,,,,,,,,
9/20/2022 16:59:40,104.3501,,,,,,,,,,,,,
9/20/2022 17:00:15,99.83925,,,,,,,,,,,,,
9/20/2022 17:50:53,000,,,,,,,,,,,,,
9/20/2022 18:27:53,104.4479,,,,,,,,,,,,,
9/20/2022 18:30:19,104.45,,,,,,,,,,,,,
9/20/2022 18:31:04,110.09,,,,,,,,,,,,,
9/20/2022 18:32:14,100.03,,,,,,,,,,,,,
9/20/2022 18:35:54,74.29,,,,,,,,,,,,,
9/20/2022 18:36:43,130.35,,,,,,,,,,,,,
9/20/2022 18:37:23,119.67,,,,,,,,,,,,,
9/20/2022 18:37:58,120.81,,,,,,,,,,,,,
9/20/2022 18:41:18,120.81,,,,,,,,,,,,,
9/20/2022 18:41:59,100.22,,,,,,,,,,,,,
9/20/2022 18:42:38,000,,,,,,,,,,,,,
9/20/2022 18:47:14,99.88,,,,,,,,,,,,,
9/20/2022 18:49:36,99.88,,,,,,,,,,,,,
9/20/2022 18:50:27,120.51,,,,,,,,,,,,,
9/21/2022 15:27:04,199.7,,,,,,,,,,,,,
9/21/2022 15:27:55,199.15,,,,,,,,,,,,,
9/21/2022 15:29:29,199.1479,,,,,,,,,,,,,
9/21/2022 15:30:31,218.5746,,,,,,,,,,,,,
9/21/2022 15:36:53,218.5746,,,,,,,,,,,,,
9/22/2022 18:58:57,219.48,,,,,,,,,,,,,
9/22/2022 19:02:43,172.99,,,,,,,,,,,,,
9/22/2022 19:16:43,162.99,,,,,,,,,,,,,
9/22/2022 19:21:32,4,,,,,,,,,,,,,
9/22/2022 19:31:38,198.55,,,,,,,,,,,,,
9/22/2022 19:35:26,24.15,,,,,,,,,,,,,
9/22/2022 19:41:51,0198.55 100 0 alive,,,,,,,,,,,,,
9/22/2022 19:42:41,0198.62 42 0 alive,,,,,,,,,,,,,
9/22/2022 19:46:37,0198.62 42 0 alive,,,,,,,,,,,,,
9/22/2022 19:47:19,0199.38 100 0 alive,,,,,,,,,,,,,
9/22/2022 19:59:22,84.06,,,,,,,,,,,,,
9/22/2022 19:59:52,84.06,,,,,,,,,,,,,
9/23/2022 1:56:16,238.85,,,,,,,,,,,,,
9/23/2022 2:03:20,431.92,,,,,,,,,,,,,
9/23/2022 2:03:53,218.98,,,,,,,,,,,,,
9/23/2022 2:05:09,399.33,,,,,,,,,,,,,
9/23/2022 10:25:49,0198.59 80 0 alive,,,,,,,,,,,,,
9/23/2022 10:28:41,0004.00 0 100 dead,,,,,,,,,,,,,
9/23/2022 11:34:47,199.27,,,,,,,,,,,,,
9/23/2022 11:35:35,199.23,,,,,,,,,,,,,
9/23/2022 11:37:09,499.57,,,,,,,,,,,,,
9/23/2022 11:40:28,84.92,,,,,,,,,,,,,
9/23/2022 11:40:28,84.92,,,,,,,,,,,,,
9/23/2022 11:40:29,84.92,,,,,,,,,,,,,
9/23/2022 11:54:25,0199.74 100 0 alive,,,,,,,,,,,,,
9/23/2022 12:57:16,0220.04 61 0 alive,,,,,,,,,,,,,
9/23/2022 13:12:47,0240.34 50 0 alive,,,,,,,,,,,,,
9/23/2022 13:14:07,0499.73 116 0 alive,,,,,,,,,,,,,
9/23/2022 13:16:27,0239.35 79 0 alive,,,,,,,,,,,,,
9/23/2022 13:17:55,0478.74 87 0 alive,,,,,,,,,,,,,
9/23/2022 13:48:10,0239.47 69 0 alive,,,,,,,,,,,,,
9/23/2022 13:50:54,0199.47 77 0 alive,,,,,,,,,,,,,
9/23/2022 13:51:01,0218.77 10 0 alive,,,,,,,,,,,,,
9/23/2022 13:51:20,0071.92 0 170 dead,,,,,,,,,,,,,
9/23/2022 13:55:06,0199.52 92 0 alive,,,,,,,,,,,,,
9/23/2022 13:56:07,0399.71 200 0 alive,,,,,,,,,,,,,
9/23/2022 13:59:09,0190.00 0 80 dead,,,,,,,,,,,,,
9/23/2022 14:00:19,0303.00 0 10 dead,,,,,,,,,,,,,
9/23/2022 14:23:40,0013.99 0 100 dead,,,,,,,,,,,,,
9/23/2022 14:24:09,0005.92 0 200 dead,,,,,,,,,,,,,
9/23/2022 14:25:36,0520.10 75 0 alive,,,,,,,,,,,,,
9/23/2022 14:46:47,0198.96 86 0 alive,,,,,,,,,,,,,
9/23/2022 15:08:36,0199.00 10 0 alive,,,,,,,,,,,,,
9/23/2022 15:08:53,0199.31 89 0 alive,,,,,,,,,,,,,
9/23/2022 15:09:31,0220.53 78 0 alive,,,,,,,,,,,,,
9/23/2022 15:09:41,0398.84 160 0 alive,,,,,,,,,,,,,
9/23/2022 15:22:24,0219.57 48 0 alive,,,,,,,,,,,,,
9/23/2022 15:41:39,0200.16 100 0 alive,,,,,,,,,,,,,
9/23/2022 15:42:34,0219.93 73 0 alive,,,,,,,,,,,,,
9/23/2022 15:42:36,0219.19 85 0 alive,,,,,,,,,,,,,
9/23/2022 15:44:13,0462.12 152 0 alive,,,,,,,,,,,,,
9/23/2022 15:44:19,0439.16 171 0 alive,,,,,,,,,,,,,
9/23/2022 15:45:49,0239.25 21 0 alive,,,,,,,,,,,,,
9/23/2022 15:46:54,0304.33 -8 100 dead,,,,,,,,,,,,,
